Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
24/03/2022 16:11:41,512960,1,1,1,1,3,3,10,10,10,10,10,10,4,4,4,4,4,4,4,4,2,2,2,2
24/03/2022 15:40:20,512965,1,1,1,1,1,1,4,4,5,6,6,7,9,10,6,6,2,2,1,1,1,1,1,1
09/04/2022 16:46:22,512969,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,10
25/03/2022 13:46:24,512972,1,1,1,1,3,4,7,8,7,9,7,10,7,10,7,10,6,8,5,7,4,5,3,4
26/03/2022 14:52:35,512974,10,10,10,10,10,10,10,10,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:35:49,512980,1,1,1,1,1,1,1,1,1,1,1,1,5,5,10,10,10,10,6,6,1,1,1,1
24/03/2022 22:14:43,513023,1,10,1,10,1,10,1,10,1,10,1,1,1,10,1,10,1,10,1,10,1,1,1,1
25/04/2022 09:09:42,513025,8,4,8,4,8,4,8,3,8,4,8,4,8,4,8,4,8,3,8,4,8,4,8,4
28/03/2022 02:13:49,513047,1,1,1,1,1,1,1,1,1,1,1,3,7,10,5,10,5,10,4,9,1,1,1,1
24/03/2022 16:18:02,513157,1,1,2,3,7,8,9,9,10,10,9,9,8,8,5,5,4,4,3,3,2,2,1,1
